"scenario","region","subRegion","param","classLabel1","class1","classLabel2","class2","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.197694222
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",585.378962593333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",69.74121
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",61.6780274
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",6.149627
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",556.476873333333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",45.7917533333333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",18.5134048
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",19.0979374666667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",553.26832
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",40.7166871892
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",17.8210024666667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",28.509536
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",497.71282
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",31.9928878903333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",11.561385
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",28.3342898666667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",577.525578666667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",34.7462515414667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",8.09975591333333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",0.328429933333333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",52.3344219346667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",122.10217712
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",9.28033562001333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",5.07356648333333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",1.82106466666667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",55.8426442273333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",185.63580464
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",12.7210289211867
