"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",17.314728396
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",2.8105272496
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",263.016279310898
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",716.995894215333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.000779216895
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1.5741101442
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",2.6139641446
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.25126717
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",20.6277123416
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",2.199296344
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",184.178161280474
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",626.931658466667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",16.216895403
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",1.2653733941
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",3.82996179
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",0.45876747
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",21.9887303888
