"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",716.995894215333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",263.016279310898
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.000779216895
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.25126717
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",18.8888385402
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",5.4244913942
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",626.931658466667
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",184.178161280474
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",16.216895403
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",0.45876747
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",21.8930857357
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",6.029258134
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",630.903947122533
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",195.613879472296
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",28.52505397935
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",0.6526326
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",23.499841818
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",6.86604552
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",569.776628890333
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",156.257095403296
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",38.5526528955
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",0.7327535
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",20.2109060473
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",7.38929573
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",649.034305921467
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",167.236940811754
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",43.0313354631
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",0.8259733
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",21.6924254535
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",8.45775774508
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",190.61156582468
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",59.3170094624737
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",30.66353778726
